"","ID","VARLABEL"
"110","ST153Q08HA","When you have to read, does the teacher ask you to: Compare the book with other books or texts on a similar topic"
"111","ST153Q09HA","When you have to read, does the teacher ask you to: Select a passage you liked or disliked and explain why"
"112","ST153Q10HA","When you have to read, does the teacher ask you to: Write a text related to what you have read"
"113","ST158Q01HA","Taught at school: How to use keywords when using a search engine such as <Google>, <Yahoo>, etc."
"114","ST158Q02HA","Taught at school: How to decide whether to trust information from the Internet"
"115","ST158Q03HA","Taught at school: How to compare different web pages and decide what information is more relevant for your school work"
"116","ST158Q04HA","Taught at school: To understand the consequences of making information publicly available online on <Facebook>, [...]"
"117","ST158Q05HA","Taught at school: How to use the short description below the links in the list of results of a search"
"118","ST158Q06HA","Taught at school: How to detect whether the information is subjective or biased"
"119","ST158Q07HA","Taught at school: How to detect phishing or spam emails"
"120","ST160Q01IA","How much do you agree or disagree? I read only if I have to."
"121","ST160Q02IA","How much do you agree or disagree? Reading is one of my favourite hobbies."
"122","ST160Q03IA","How much do you agree or disagree? I like talking about books with other people."
"123","ST160Q04IA","How much do you agree or disagree? For me, reading is a waste of time."
"124","ST160Q05IA","How much do you agree or disagree? I read only to get information that I need."
"125","ST167Q01IA","How often do you read these materials because you want to? Magazines"
"126","ST167Q02IA","How often do you read these materials because you want to? Comic books"
"127","ST167Q03IA","How often do you read these materials because you want to? Fiction (novels, narratives, stories)"
"128","ST167Q04IA","How often do you read these materials because you want to? Non-fiction books (informational, documentary)"
"129","ST167Q05IA","How often do you read these materials because you want to? Newspapers"
"130","ST168Q01HA","Which of the following statements best describes how you read books (on any topic)?"
"131","ST175Q01IA","About how much time do you usually spend reading for enjoyment?"
"132","ST176Q01IA","How often involved in: Reading emails"
"133","ST176Q02IA","How often involved in: <Chat on line> (e.g. <Whatsapp>, <Messenger>)"
"134","ST176Q03IA","How often involved in: Reading online news"
"135","ST176Q05IA","How often involved in: Searching information online to learn about a particular topic"
"136","ST176Q06IA","How often involved in: Taking part in online group discussions or forums"
"137","ST176Q07IA","How often involved in: Searching for practical information online (e.g. schedules, events, tips, recipes)"
"138","ST161Q01HA","Agree: I am a good reader."
"139","ST161Q02HA","Agree: I am able to understand difficult texts."
"140","ST161Q03HA","Agree: I read fluently."
"141","ST161Q06HA","Agree: I have always had difficulty with reading."
"142","ST161Q07HA","Agree: I have to read a text several times before completely understanding it."
"143","ST161Q08HA","Agree: I find it difficult to answer questions about a text."
"144","ST163Q02HA","In the PISA test, how do you feel about the reading tasks: There were many words I could not understand."
"145","ST163Q03HA","In the PISA test, how do you feel about the reading tasks: Many texts were too difficult for me."
"146","ST163Q04HA","In the PISA test, how do you feel about the reading tasks: I was lost when I had to navigate between different pages."
"147","ST164Q01IA","Usefulness for understanding and memorising text: I concentrate on the parts of the text that are easy to understand."
"148","ST164Q02IA","Usefulness for understanding and memorising text: I quickly read through the text twice."
"149","ST164Q03IA","Usefulness for understanding and memorising text: After reading the text, I discuss its content with other people."
"150","ST164Q04IA","Usefulness for understanding and memorising text: I underline important parts of the text."
"151","ST164Q05IA","Usefulness for understanding and memorising text: I summarise the text in my own words."
"152","ST164Q06IA","Usefulness for understanding and memorising text: I read the text aloud to another person."
"153","ST165Q01IA","Usefulness for writing a summary: I write a summary. Then I check that each paragraph is covered in the summary, [...]"
"154","ST165Q02IA","Usefulness for writing a summary: I try to copy out accurately as many sentences as possible."
"155","ST165Q03IA","Usefulness for writing a summary: Before writing the summary, I read the text as many times as possible."
"156","ST165Q04IA","Usefulness for writing a summary: I carefully check whether the most important facts in the text are represented [...]"
"157","ST165Q05IA","Usefulness for writing a summary: I read through the text, underlining the most important sentences. Then I write [...]"
"158","ST166Q01HA","How appropriate in reaction to this email: Answer the email and ask for more information about the smartphone"
"159","ST166Q02HA","How appropriate in reaction to this email: Check the sender's email address"
"160","ST166Q03HA","How appropriate in reaction to this email: Click on the link to fill out the form as soon as possible"
"161","ST166Q04HA","How appropriate in reaction to this email: Delete the email without clicking on the link"
"162","ST166Q05HA","How appropriate in reaction to this email: Check the website of the mobile phone operator to see whether [...]"
"163","ST016Q01NA","Overall, how satisfied are you with your life as a whole these days?"
"164","ST036Q05TA","Thinking about your school: Trying hard at school will help me get a good job."
"165","ST036Q06TA","Thinking about your school: Trying hard at school will help me get into a good <college>."
"166","ST036Q08TA","Thinking about your school: Trying hard at school is important."
"167","ST225Q01HA","Do you expect to complete? <ISCED level 2>"
"168","ST225Q02HA","Do you expect to complete? <ISCED level 3B or C>"
"169","ST225Q03HA","Do you expect to complete? <ISCED level 3A>"
"170","ST225Q04HA","Do you expect to complete? <ISCED level 4>"
"171","ST225Q05HA","Do you expect to complete? <ISCED level 5B>"
"172","ST225Q06HA","Do you expect to complete? <ISCED level 5A or 6>"
"173","ST181Q02HA","Agree: I enjoy working in situations involving competition with others."
"174","ST181Q03HA","Agree: It is important for me to perform better than other people on a task."
"175","ST181Q04HA","Agree: I try harder when Im in competition with other people."
"176","ST182Q03HA","Agree: I find satisfaction in working as hard as I can."
"177","ST182Q04HA","Agree: Once I start a task, I persist until it is finished."
"178","ST182Q05HA","Agree: Part of the enjoyment I get from doing things is when I improve on my past performance."
"179","ST182Q06HA","Agree: If I am not good at something, I would rather keep struggling to master it than move on to something I may [...]"
"180","ST183Q01HA","Agree: When I am failing, I worry about what others think of me."
"181","ST183Q02HA","Agree: When I am failing, I am afraid that I might not have enough talent."
"182","ST183Q03HA","Agree: When I am failing, this makes me doubt my plans for the future."
"183","ST184Q01HA","Agree: Your intelligence is something about you that you can't change very much."
"184","ST185Q01HA","Agree: My life has clear meaning or purpose."
"185","ST185Q02HA","Agree: I have discovered a satisfactory meaning in life."
"186","ST185Q03HA","Agree: I have a clear sense of what gives meaning to my life."
"187","ST186Q05HA","Thinking about yourself and how you normally feel: how often do you feel as described below? Happy"
"188","ST186Q06HA","Thinking about yourself and how you normally feel: how often do you feel as described below? Scared"
"189","ST186Q07HA","Thinking about yourself and how you normally feel: how often do you feel as described below? Lively"
"190","ST186Q10HA","Thinking about yourself and how you normally feel: how often do you feel as described below? Miserable"
"191","ST186Q09HA","Thinking about yourself and how you normally feel: how often do you feel as described below? Proud"
"192","ST186Q02HA","Thinking about yourself and how you normally feel: how often do you feel as described below? Afraid"
"193","ST186Q01HA","Thinking about yourself and how you normally feel: how often do you feel as described below? Joyful"
"194","ST186Q08HA","Thinking about yourself and how you normally feel: how often do you feel as described below? Sad"
"195","ST186Q03HA","Thinking about yourself and how you normally feel: how often do you feel as described below? Cheerful"
"196","ST208Q01HA","How true for you: My goal is to learn as much as possible."
"197","ST208Q02HA","How true for you: My goal is to completely master the material presented in my classes."
"198","ST208Q04HA","How true for you: My goal is to understand the content of my classes as thoroughly as possible."
"199","ST188Q01HA","Agree: I usually manage one way or another."
"200","ST188Q02HA","Agree: I feel proud that I have accomplished things."
"201","ST188Q03HA","Agree: I feel that I can handle many things at a time."
"202","ST188Q06HA","Agree: My belief in myself gets me through hard times."
"203","ST188Q07HA","Agree: When Im in a difficult situation, I can usually find my way out of it."
"204","ST034Q01TA","Thinking about your school: I feel like an outsider (or left out of things) at school."
"205","ST034Q02TA","Thinking about your school: I make friends easily at school."
"206","ST034Q03TA","Thinking about your school: I feel like I belong at school."
"207","ST034Q04TA","Thinking about your school: I feel awkward and out of place in my school."
"208","ST034Q05TA","Thinking about your school: Other students seem to like me."
"209","ST034Q06TA","Thinking about your school: I feel lonely at school."
"210","ST196Q02HA","How easy to perform on your own: Explain how carbon-dioxide emissions affect global climate change"
"211","ST196Q03HA","How easy to perform on your own: Establish a connection between prices of textiles and working conditions in the [...]"
"212","ST196Q04HA","How easy to perform on your own: Discuss the different reasons why people become refugees"
"213","ST196Q05HA","How easy to perform on your own: Explain why some countries suffer more from global climate change than others"
"214","ST196Q06HA","How easy to perform on your own: Explain how economic crises in single countries affect the global economy"
"215","ST196Q07HA","How easy to perform on your own: Discuss the consequences of economic development on the environment"
"216","ST197Q01HA","How informed are you about the following topics? Climate change and global warming"
"217","ST197Q02HA","How informed are you about the following topics? Global health (e.g. epidemics)"
"218","ST197Q04HA","How informed are you about the following topics? Migration (movement of people)"
"219","ST197Q07HA","How informed are you about the following topics? International conflicts"
"220","ST197Q08HA","How informed are you about the following topics? Hunger or malnutrition in different parts of the world"
"221","ST197Q09HA","How informed are you about the following topics? Causes of poverty"
"222","ST197Q12HA","How informed are you about the following topics? Equality between men and women in different parts of the world"
"223","ST215Q01HA","How well does the following describe you: I try to look at everybody's side of a disagreement before I make a decision."
"224","ST215Q02HA","How well does the following describe you: I believe that there are two sides to every question and try to look at [...]"
"225","ST215Q03HA","How well does the following describe you: I sometimes try to understand my friends better by imagining how things [...]"
"226","ST215Q04HA","How well does the following describe you: Before criticizing somebody, I try to imagine how I would feel if I were [...]"
"227","ST215Q05HA","How well does the following describe you: When I'm upset at someone, I try to take the perspective of that person [...]"
"228","ST216Q01HA","How well does the following describe you: I can deal with unusual situations."
"229","ST216Q02HA","How well does the following describe you: I can change my behaviour to meet the needs of new situations."
"230","ST216Q03HA","How well does the following describe you: I can adapt to different situations even when under stress or pressure."
"231","ST216Q04HA","How well does the following describe you: I can adapt easily to a new culture."
"232","ST216Q05HA","How well does the following describe you: When encountering difficult situations with other people, I can think of [...]"
"233","ST216Q06HA","How well does the following describe you: I am capable of overcoming my difficulties in interacting with people [...]"
"234","ST218Q01HA","Intercultural communication: I carefully observe their reactions."
"235","ST218Q02HA","Intercultural communication: I frequently check that we are understanding each other correctly."
"236","ST218Q03HA","Intercultural communication: I listen carefully to what they say."
"237","ST218Q04HA","Intercultural communication: I choose my words carefully."
"238","ST218Q05HA","Intercultural communication: I give concrete examples to explain my ideas."
"239","ST218Q06HA","Intercultural communication: I explain things very carefully."
"240","ST218Q07HA","Intercultural communication: If there is a problem with communication, I find ways around it [...]"
"241","ST222Q01HA","Involved in: I reduce the energy I use at home [...] to protect the environment."
"242","ST222Q03HA","Involved in: I choose certain products for ethical or environmental reasons, even if they are a bit more expensive."
"243","ST222Q04HA","Involved in: I sign environmental or social petitions online."
"244","ST222Q05HA","Involved in: I keep myself informed about world events via <Twitter> or <Facebook>."
"245","ST222Q06HA","Involved in: I boycott products or companies for political, ethical or environmental reasons."
"246","ST222Q08HA","Involved in: I participate in activities promoting equality between men and women."
"247","ST222Q09HA","Involved in: I participate in activities in favour of environmental protection."
"248","ST222Q10HA","Involved in: I regularly read websites on international social issues (e.g. poverty, human rights)."
"249","ST214Q01HA","How well does the following describe you: I want to learn how people live in different countries."
"250","ST214Q02HA","How well does the following describe you: I want to learn more about the religions of the world."
"251","ST214Q03HA","How well does the following describe you: I am interested in how people from various cultures see the world."
"252","ST214Q06HA","How well does the following describe you: I am interested in finding out about the traditions of other cultures."
"253","ST220Q01HA","Do you have contact with people from other countries? In your family"
"254","ST220Q02HA","Do you have contact with people from other countries? At school"
"255","ST220Q03HA","Do you have contact with people from other countries? In your neighbourhood"
"256","ST220Q04HA","Do you have contact with people from other countries? In your circle of friends"
"257","ST217Q01HA","How well does the following describe you: I respect people from other cultures as equal human beings."
"258","ST217Q02HA","How well does the following describe you: I treat all people with respect regardless of their cultural background."
"259","ST217Q03HA","How well does the following describe you: I give space to people from other cultures to express themselves."
"260","ST217Q04HA","How well does the following describe you: I respect the values of people from different cultures."
"261","ST217Q05HA","How well does the following describe you: I value the opinions of people from different cultures."
"262","ST219Q01HA","Agree: I think of myself as a citizen of the world."
"263","ST219Q02HA","Agree: When I see the poor conditions that some people in the world live under, I feel a responsibility to do [...]"
"264","ST219Q03HA","Agree: I think my behaviour can impact people in other countries."
"265","ST219Q04HA","Agree: It is right to boycott companies that are known to provide poor workplace conditions for their employees."
"266","ST219Q05HA","Agree: I can do something about the problems of the world."
"267","ST219Q06HA","Agree: Looking after the global environment is important to me."
"268","ST204Q02HA","Agree: Immigrant children should have the same opportunities for education that other children in the country have."
"269","ST204Q03HA","Agree: Immigrants who live in a country for several years should have the opportunity to vote in elections."
"270","ST204Q04HA","Agree: Immigrants should have the opportunity to continue their own customs and lifestyle."
"271","ST204Q05HA","Agree: Immigrants should have all the same rights that everyone else in the country has."
"272","ST177Q01HA","How many languages [...] do you and your parents speak well enough to converse with others? You"
"273","ST177Q02HA","How many languages [...] do you and your parents speak well enough to converse with others? Your mother"
"274","ST177Q03HA","How many languages [...] do you and your parents speak well enough to converse with others? Your father"
"275","ST189Q01HA","How many foreign languages do you learn at your school this school year?"
"276","ST221Q01HA","At school: I learn about the interconnectedness of countries economies."
"277","ST221Q02HA","At school: I learn how to solve conflicts with other people in our classrooms."
"278","ST221Q03HA","At school: I learn about different cultures."
"279","ST221Q04HA","At school: We read newspapers, look for news on the Internet or watch the news together during classes."
"280","ST221Q05HA","At school: I am often invited by my teachers to give my personal opinion about international news."
"281","ST221Q06HA","At school: I participate in events celebrating cultural diversity throughout the school year."
"282","ST221Q07HA","At school: I participate in classroom discussions about world events as part of the regular instruction."
"283","ST221Q08HA","At school: I analyse global issues together with my classmates in small groups during class."
"284","ST221Q09HA","At school: I learn how people from different cultures can have different perspectives on some issues."
"285","ST221Q11HA","At school: I learn how to communicate with people from different backgrounds."
"286","ST223Q02HA","Teachers inyour school: They have misconceptions about the history of some cultural groups."
"287","ST223Q04HA","Teachers in your school: They say negative things about people of some cultural groups."
"288","ST223Q05HA","Teachers inyour school: They blame people of some cultural groups for problems faced by <country of test>."
"289","ST223Q08HA","Teachers inyour school: They have lower academic expectations for students of some cultural groups."
"290","ST123Q02NA","Thinking about <this academic year>: My parents support my educational efforts and achievements."
"291","ST123Q03NA","Thinking about <this academic year>: My parents support me when I am facing difficulties at school."
"292","ST123Q04NA","Thinking about <this academic year>: My parents encourage me to be confident."
"293","ST205Q01HA","Think about your school, how true: Students seem to value competition."
"294","ST205Q02HA","Think about your school, how true: It seems that students are competing with each other."
"295","ST205Q03HA","Think about your school, how true: Students seem to share the feeling that competing with each other is important."
"296","ST205Q04HA","Think about your school, how true: Students feel that they are being compared with others."
"297","ST059Q01TA","Typically required to attend: Number of <class periods> per week in <test language lessons>"
"298","ST059Q02TA","Typically required to attend: Number of <class periods> per week in mathematics"
"299","ST059Q03TA","Typically required to attend: Number of <class periods> per week in <science>"
"300","ST059Q04HA","Typically required to attend: Number of <class periods> per week in foreign language"
"301","ST060Q01NA","In a normal, full week at school, how many <class periods> are you required to attend in total?"
"302","ST061Q01NA","How many minutes, on average, are there in a <class period>?"
"303","ST062Q01TA","In the last two full weeks of school, how often: I <skipped> a whole school day."
"304","ST062Q02TA","In the last two full weeks of school, how often: I <skipped> some classes."
"305","ST062Q03TA","In the last two full weeks of school, how often: I arrived late for school."
"306","ST038Q03NA","During the past 12 months, how often: Other students left me out of things on purpose."
"307","ST038Q04NA","During the past 12 months, how often: Other students made fun of me."
"308","ST038Q05NA","During the past 12 months, how often: I was threatened by other students."
"309","ST038Q06NA","During the past 12 months, how often: Other students took away or destroyed things that belonged to me."
"310","ST038Q07NA","During the past 12 months, how often: I got hit or pushed around by other students."
"311","ST038Q08NA","During the past 12 months, how often: Other students spread nasty rumours about me."
"312","ST207Q01HA","Agree: It irritates me when nobody defends bullied students."
"313","ST207Q02HA","Agree: It is a good thing to help students who can't defend themselves."
"314","ST207Q03HA","Agree: It is a wrong thing to join in bullying."
"315","ST207Q04HA","Agree: I feel bad seeing other students bullied."
"316","ST207Q05HA","Agree: I like it when someone stands up for other students who are being bullied."
"317","ST206Q01HA","Think about your school, how true: Students seem to value cooperation."
"318","ST206Q02HA","Think about your school, how true: It seems that students are cooperating with each other."
"319","ST206Q03HA","Think about your school, how true: Students seem to share the feeling that cooperating with each other is important."
"320","ST206Q04HA","Think about your school, how true: Students feel that they are encouraged to cooperate with others."
"321","IC001Q01TA","Available for you to use at home: Desktop computer"
"322","IC001Q02TA","Available for you to use at home: Portable laptop, or notebook"
"323","IC001Q03TA","Available for you to use at home: <Tablet computer> (e.g. <iPad>, <BlackBerry PlayBook>)"
"324","IC001Q04TA","Available for you to use at home: Internet connection"
"325","IC001Q05TA","Available for you to use at home: <Video games console>, e.g. <Sony PlayStation>"
"326","IC001Q06TA","Available for you to use at home: <Cell phone> (without Internet access)"
"327","IC001Q07TA","Available for you to use at home: <Cell phone> (with Internet access)"
"328","IC001Q08TA","Available for you to use at home: Portable music player (Mp3/Mp4 player, iPod or similar)"
"329","IC001Q09TA","Available for you to use at home: Printer"
"330","IC001Q10TA","Available for you to use at home: USB (memory) stick"
"331","IC001Q11TA","Available for you to use at home: <ebook reader>, e.g. <Amazon Kindle>"
"332","IC009Q01TA","Available for you to use at school: Desktop computer"
"333","IC009Q02TA","Available for you to use at school: Portable laptop or notebook"
"334","IC009Q03TA","Available for you to use at school: <Tablet computer> (e.g. <iPad>, <BlackBerry PlayBook>)"
"335","IC009Q05NA","Available for you to use at school: Internet connected school computers"
"336","IC009Q06NA","Available for you to use at school: Internet connection via wireless network"
"337","IC009Q07NA","Available for you to use at school: Storage space for school-related data, e.g. a folder for own documents"
"338","IC009Q08TA","Available for you to use at school: USB (memory) stick"
"339","IC009Q09TA","Available for you to use at school: <ebook reader>, e.g. <Amazon Kindle>"
"340","IC009Q10NA","Available for you to use at school: Data projector, e.g. for slide presentations"
"341","IC009Q11NA","Available for you to use at school: Interactive Whiteboard, e.g. <Smartboard>"
"342","IC002Q01HA","How old were you when you first used a digital device?"
"343","IC004Q01HA","How old were you when you first accessed the Internet?"
"344","IC005Q01TA","During a typical weekday, for how long do you use the Internet at school?"
"345","IC006Q01TA","During a typical weekday, for how long do you use the Internet outside of school?"
"346","IC007Q01TA","On a typical weekend day, for how long do you use the Internet outside of school?"
"347","IC150Q01HA","Time spent using digital devices during classroom lessons in a typical school week: <Test language lessons>"
"348","IC150Q02HA","Time spent using digital devices during classroom lessons in a typical school week: <Mathematics>"
"349","IC150Q03HA","Time spent using digital devices during classroom lessons in a typical school week: <Science>"
"350","IC150Q04HA","Time spent using digital devices during classroom lessons in a typical school week: <Foreign language>"
"351","IC150Q05HA","Time spent using digital devices during classroom lessons in a typical school week: <Social sciences>"
"352","IC150Q06HA","Time spent using digital devices during classroom lessons in a typical school week: Music"
"353","IC150Q07HA","Time spent using digital devices during classroom lessons in a typical school week: Sports"
"354","IC150Q08HA","Time spent using digital devices during classroom lessons in a typical school week: <Performing arts>"
"355","IC150Q09HA","Time spent using digital devices during classroom lessons in a typical school week: <Visual arts>"
"356","IC151Q01HA","Time spent using digital devices outside of classroom lessons in a typical school week: <Test language lessons>"
"357","IC151Q02HA","Time spent using digital devices outside of classroom lessons in a typical school week: <Mathematics>"
"358","IC151Q03HA","Time spent using digital devices outside of classroom lessons in a typical school week: <Science>"
"359","IC151Q04HA","Time spent using digital devices outside of classroom lessons in a typical school week: <Foreign language>"
"360","IC151Q05HA","Time spent using digital devices outside of classroom lessons in a typical school week: <Social sciences>"
"361","IC151Q06HA","Time spent using digital devices outside of classroom lessons in a typical school week: Music"
"362","IC151Q07HA","Time spent using digital devices outside of classroom lessons in a typical school week: Sports"
"363","IC151Q08HA","Time spent using digital devices outside of classroom lessons in a typical school week: <Performing arts>"
"364","IC151Q09HA","Time spent using digital devices outside of classroom lessons in a typical school week: <Visual arts>"
"365","IC152Q01HA","Digital device used for learning or teaching during lessons within the last month: <Test language lessons>"
"366","IC152Q02HA","Digital device used for learning or teaching during lessons within the last month: <Mathematics>"
"367","IC152Q03HA","Digital device used for learning or teaching during lessons within the last month: <Science>"
"368","IC152Q04HA","Digital device used for learning or teaching during lessons within the last month: <Foreign language>"
"369","IC152Q05HA","Digital device used for learning or teaching during lessons within the last month: <Social sciences>"
"370","IC152Q06HA","Digital device used for learning or teaching during lessons within the last month: Music"
"371","IC152Q07HA","Digital device used for learning or teaching during lessons within the last month: Sports"
"372","IC152Q08HA","Digital device used for learning or teaching during lessons within the last month: <Performing arts>"
"373","IC152Q09HA","Digital device used for learning or teaching during lessons within the last month: <Visual arts>"
"374","IC008Q01TA","Use digital devices outside of school: Playing one-player games."
"375","IC008Q02TA","Use digital devices outside of school: Playing collaborative online games."
